invtun;lohy-lohx;koeala;kuvio;kunta;koealankorkeus;lamposumma;framaa;maaluokka;entinenmaaluokka;paatyyppi;kasvupaikkat;kasvuplisa;suotyy;turvekangas;ojitustilanne;tehtyojitus;ojitusaika;ojitustarve;ojienkunto;veroluokka;veroluokkatarkennus;orgkerroslaatu;orgkerrospaksuus;maalaji;raekoko;maaperanpaksuus;jaksoja;kehitysluokka;vallitsevapl;ppa;runkoluku;keskilpm;keskipituus;rinnankorkeusika;alikasvoskehitysluokka;alikasvospl;alikasvosppa;ylispuutkehitysluokka;ylispuutpl;ylispuutppa;maanpinnankasittely;viljely;muutoimenpide;maanpinnankasittelyehdotus;maanpinnankasittelyaika;viljelyaika;muutoimenpideaika
P;510-60;4;1;;;;;1;1;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;510-60;5;1;;;;;1;1;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;510-60;6;1;;;;;1;1;;;;;;;;;3;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;510-60;7;1;;;;;1;1;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;510-60;8;1;638;231;1336;1;1;0;1;3;0;;;0;0;;0;;2;1;1;4;3;2;2;1;4;1;15;;15;127;;;;;;;;0;2;0;0;;;
P;510-60;8;2;;;;;1;1;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;510-60;9;1;;;;;1;1;;4;0;3;0;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
P;510-60;10;2;638;97;1346;1;1;0;1;2;0;;;0;0;;0;;0;0;3;10;4;1;3;1;5;2;26;;26;240;;;;;;;;0;0;0;0;;;
P;510-60;11;1;;;;;1;2;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;510-60;12;1;;;;;;1;9;;;0;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;514-52;3;1;;;;;1;2;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;514-52;4;1;;;;;1;2;;;;;;;;;1;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;514-52;5;1;;;;;1;3;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;514-52;6;1;;;;;1;2;;7;2;1;7;5;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
P;514-52;7;1;;;;;;4;9;;;0;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;514-52;7;2;;;;;1;3;;;;;;;;;1;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;514-52;8;1;;;;;;3;6;;;0;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;514-52;9;1;;;;;;3;7;;;0;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;514-52;10;1;;;;;;2;0;;;0;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;514-52;11;1;543;;;3;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;514-62;3;1;;;;;1;1;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;514-62;4;1;;;;;1;1;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;514-62;5;1;;;;;1;0;;;;;;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
P;514-62;6;1;;;;;1;2;;;;;;;;;4;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;
P;514-62;7;1;638;;;3;6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;514-62;9;1;638;;;3;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;514-62;10;1;;;;;1;2;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;514-62;11;1;;;;;1;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;514-62;12;1;434;650;1312;1;1;0;1;4;0;;;0;0;;0;;3;1;1;3;3;2;2;1;4;1;8;;10;79;;;;;;;;1;2;0;0;;;
P;514-72;3;1;;;;;;1;4;;;0;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;514-72;4;1;285;;;3;6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;514-72;6;1;285;;;3;6;51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;514-72;8;1;285;221;1327;1;1;0;1;4;0;;;0;0;;0;;3;1;1;2;2;0;1;1;5;1;23;;22;203;;;;;;;;0;0;0;0;;;
P;514-72;9;1;285;;;4;6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;514-72;11;1;285;335;1318;1;1;0;1;3;0;;;0;0;;0;;2;1;1;3;3;2;3;1;6;2;29;;27;215;;;;;;;;0;0;0;1;;;
P;514-72;12;1;;;;;1;2;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;516-48;3;1;;;;;1;2;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;516-48;4;1;;;;;1;1;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;516-48;5;1;;;;;1;2;;2;7;1;2;5;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
P;516-48;5;2;;;;;1;2;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;516-48;6;1;;;;;1;2;;;;;;;;;3;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;516-48;7;1;433;1199;1254;1;1;0;1;2;0;;;0;0;;0;;0;0;1;6;3;1;3;1;3;3;2;1575;3;34;;;;;;;;1;1;0;0;3;3;
P;516-48;7;2;;;;;1;4;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;516-48;9;1;433;1049;1265;1;1;0;1;2;0;;;0;0;;0;;0;0;0;0;4;1;3;1;5;4;6;;22;185;;;;;;;;0;0;0;4;;;
P;516-48;10;1;433;1237;1251;1;1;0;1;2;0;;;0;0;;0;;0;0;1;5;4;2;3;1;5;2;30;;30;270;;;;;;;;0;0;0;0;;;
P;516-48;11;1;;;;;1;2;;7;5;;7;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
P;516-48;12;1;;;;;1;2;;;;;;;;;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;516-78;3;1;;;;;1;2;;1;0;1;1;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
P;516-78;4;1;;;;;1;2;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;516-78;5;1;935;307;1332;1;1;0;1;3;0;;;0;0;;0;;1;0;1;4;3;2;3;1;5;1;23;;19;169;;;;;;;;0;1;0;0;;;
P;516-78;6;1;;;;;1;1;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;516-78;7;1;;;;;1;1;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;516-78;8;1;;;;;1;1;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;516-78;9;1;935;350;1329;1;1;0;1;3;0;;;0;0;;0;;1;0;1;5;3;2;2;1;5;1;28;;23;221;;;;;;;;0;0;0;0;;;
P;516-78;10;1;935;331;1331;1;1;0;1;4;0;;;0;0;;0;;3;1;1;2;3;2;2;1;4;1;22;;12;118;;;;;;;;0;0;4;0;;;2
P;516-78;12;1;935;;;3;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;518-74;3;1;;;;;1;1;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;518-74;4;1;;;;;1;2;;4;7;2;4;5;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
P;518-74;5;1;;;;;1;1;;;;;;;;;1;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
P;518-74;6;1;;;;;1;1;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;518-74;7;1;;;;;1;1;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;518-74;9;1;286;;;3;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;518-74;10;1;75;589;1312;1;1;0;1;4;0;;;0;0;;0;;2;0;1;3;3;2;3;1;5;1;21;;20;185;;;;;;;;0;1;0;0;;;
P;518-74;11;2;75;648;1308;1;1;0;1;4;0;;;0;0;;0;;2;0;1;4;3;3;3;1;4;1;20;;10;89;;;;;;;;1;2;0;0;;;
P;518-74;11;3;;;;;1;1;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;518-74;12;1;;;;;1;1;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;520-80;3;1;;;;;1;1;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;520-80;4;1;;;;;1;1;;;;;;;;;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;520-80;5;1;441;689;1302;1;1;0;1;3;0;;;0;0;;0;;1;0;1;4;3;2;3;1;5;1;21;;19;156;;;;;;;;0;1;0;0;;;
P;520-80;6;1;;;;;1;1;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;520-80;7;1;;;;;1;1;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;520-80;8;1;;;;;1;1;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;520-80;9;1;441;749;1298;1;1;0;1;4;0;;;0;0;;0;;2;0;1;4;3;1;3;1;3;1;2;2325;2;22;;;;;;;;1;2;0;0;;;
P;520-80;10;1;;;;;1;2;;2;7;1;2;5;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
P;520-80;10;2;;;;;1;1;;;;;;;;;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;520-80;11;1;;;;;1;1;;;;;;;;;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;520-80;12;1;;;;;1;1;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;522-76;3;2;441;836;1291;1;1;0;1;2;0;;;0;0;;0;;0;0;1;4;3;2;3;1;6;2;30;;32;263;;;;;;;;0;0;0;1;;;
P;522-76;3;3;;;;;1;4;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;522-76;4;1;441;915;1285;1;1;0;1;3;0;;;0;0;;0;;1;0;1;4;3;2;3;1;6;2;42;;28;245;;;;;;;;0;0;0;1;;;
P;522-76;5;1;;;;;1;1;;;;;;;;;3;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;522-76;6;1;;;;;1;2;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;522-76;7;1;;;;;1;1;;;;;;0;;;3;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;522-76;8;1;;;;;1;2;;;;;;;;;3;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;522-76;9;1;;;;;1;2;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;522-76;10;1;;;;;1;2;;3;5;1;3;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
P;522-76;10;2;;;;;1;1;;;;;;;;;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;522-76;11;1;441;825;1293;1;1;0;2;3;0;;3;4;2;7;0;1;1;0;4;190;0;0;3;1;5;2;24;;23;215;;;;;;;;0;0;0;0;;;
P;522-76;12;2;441;;;;8;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;522-76;12;3;;;;;1;1;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;526-56;6;1;109;;;4;6;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;526-56;6;2;;;;;;5;8;;;0;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;526-56;7;1;;;;;1;2;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;526-56;8;1;109;1358;1224;1;1;0;1;2;0;;;0;0;;0;;1;1;1;6;3;2;3;1;2;2;0;1550;;7;;;;;;;;2;1;0;0;2;2;
P;526-56;8;2;;;;;1;2;;;;;;;;;3;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;526-56;9;1;;;;;1;4;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;526-56;10;1;;;;;1;4;;;;;;;;;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;526-56;11;1;109;1348;1223;1;1;0;1;3;0;;;0;0;;0;;1;0;1;7;3;2;3;1;4;2;19;;10;101;;;;;;;;0;0;0;0;;;
P;526-56;12;1;;;;;1;2;;;;;;;;;3;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;526-56;3;1;16;;;3;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;526-58;4;2;16;1400;1233;1;1;0;1;1;0;;;1;1;40;0;2;0;0;3;30;3;1;3;1;5;4;18;;28;228;;;;;;;;0;0;0;1;;;
P;526-58;4;3;;;;;;4;1;;;0;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;526-58;5;1;;;;;1;2;;8;1;;8;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
P;526-58;6;1;;;;;1;1;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;526-58;7;1;;;;;1;2;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;526-58;8;1;;;;;1;2;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;526-58;10;1;16;1450;1231;1;1;0;3;4;0;;4;4;1;35;0;2;2;0;4;200;0;0;3;1;5;1;10;;18;150;;;;;;;;0;0;0;0;;;
P;526-58;11;1;;;;;1;1;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;526-58;12;1;16;1450;1233;1;1;0;3;4;0;;4;4;1;35;2;3;3;2;4;200;0;0;3;1;5;1;24;;20;146;;;;;;;;0;0;0;0;;;
P;526-58;12;2;;;;;1;1;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;528-52;3;1;;;;;1;2;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;528-52;4;1;;;;;1;2;;;;;;;;;1;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
P;528-52;4;2;;;;;1;2;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;528-52;5;1;109;;;3;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;528-52;6;1;;;;;1;2;;;;;;;;;3;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;528-52;7;1;;;;;1;2;;;;;;;;;3;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;528-52;8;1;109;;;3;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;528-52;10;1;109;1094;1265;1;1;0;1;2;0;;;0;0;;0;;1;1;1;3;3;2;3;1;5;2;29;;22;181;;;;;;;;0;0;0;0;;;
P;528-52;11;1;109;1324;1249;1;1;0;1;5;0;;;0;0;;0;;3;0;1;5;1;0;1;1;5;1;16;;25;150;;;;;;;;0;0;0;0;;;
P;528-52;12;1;;;;;1;1;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;528-58;3;1;;;;;1;2;;;;;;;;;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;528-58;4;1;;;;;1;2;;;;;;;;;3;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;528-58;5;1;576;1445;1234;1;1;0;1;2;0;;;0;0;;0;;1;1;1;4;3;2;3;2;4;3;12;;9;89;;;;2;4;3;;0;0;0;0;;;
P;528-58;6;1;;;;;1;2;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;528-58;6;2;;;;0;;2;4;;0;0;;1;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;528-58;7;1;;;;;1;2;;;;;;;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
P;528-58;8;1;;;;;1;2;;;;;;;;;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;528-58;9;1;;;;;1;1;;;;;;;;;3;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;528-58;11;1;576;1237;1257;1;1;0;1;2;0;;;0;0;;0;;0;0;1;2;3;2;3;2;4;3;20;;13;131;;3;2;;;;8;1;1;0;0;;;
P;528-58;3;1;922;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;530-40;5;2;922;;;4;4;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;530-40;6;1;;;;;1;2;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;530-40;7;1;922;1125;1224;1;1;0;1;3;0;;;0;0;;0;;1;0;1;4;3;2;3;1;4;1;18;;13;104;;;;;;;;0;1;0;0;;;
P;530-40;9;1;922;;;4;4;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;530-40;11;1;922;1100;1228;1;1;0;1;2;0;;;0;0;;0;;0;0;2;4;3;2;3;2;5;1;28;;28;234;;3;2;;;;1;0;0;0;0;;;
P;530-40;11;2;;;;1;;5;7;;0;0;;3;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;530-40;12;1;922;1249;1218;1;1;0;1;3;0;;;0;0;;0;;1;0;1;3;3;2;3;1;2;2;0;1400;;4;;;;;;;;2;1;0;0;2;2;
P;530-48;4;1;635;;;3;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;530-48;5;1;;;;;1;2;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;530-48;6;1;635;1186;1269;1;1;0;1;1;0;;;0;0;;0;;0;0;1;2;4;2;3;1;4;3;29;;14;141;;;;;;;;1;3;0;0;;;
P;530-48;7;1;635;;;3;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;530-48;9;1;635;;;3;8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;530-48;9;2;;;;;1;1;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;530-48;10;1;;;;;1;2;;;;;;;;;1;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
P;530-48;11;1;;;;;1;2;;6;2;2;0;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
P;530-48;3;1;790;998;1222;1;1;0;1;3;0;;;0;0;;0;;1;0;1;3;3;2;3;1;5;1;22;;23;193;;;;;;;;1;1;0;0;;;
P;532-36;4;1;;;;;1;1;;;;;;;;;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;532-36;5;1;;;;;1;1;;;;;;;;;1;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
P;532-36;6;1;;;;;1;1;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
P;532-36;7;1;;;;;1;1;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
P;532-36;8;1;;;;;1;1;;6;5;1;6;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
P;532-36;9;1;;;;;1;1;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;532-36;10;1;;;;;1;2;;;;;;;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
P;532-36;11;1;;;;;1;1;;9;5;1;9;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
P;532-36;3;1;536;1695;1178;1;1;0;1;4;0;;;0;0;;0;;2;0;1;5;3;2;2;1;4;1;24;;11;121;;;;;;;;0;2;0;0;;;
P;534-42;4;1;;;;;1;1;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;534-42;5;1;;;;;1;1;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;534-42;6;1;536;1557;1187;1;1;0;1;3;0;;;1;1;24;0;1;1;0;1;6;3;2;3;1;6;1;20;;25;203;;;;;;;;0;0;0;1;;;
P;534-42;6;2;;;;;1;1;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;534-42;7;1;;;;;1;1;;6;5;1;0;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
P;534-42;8;2;536;1499;1191;1;1;0;1;3;0;;;0;0;;0;;1;0;1;4;4;2;3;1;6;2;22;;26;221;;;;;;;;0;0;0;1;;;
P;534-42;9;1;;;;;1;2;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;534-42;10;1;;;;;1;1;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;534-42;11;1;;;;;1;1;;;;;;;;;3;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
P;534-42;12;1;980;;;3;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;536-38;3;1;;;;;1;2;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;536-38;4;1;;;;;1;2;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
P;536-38;5;1;;;;;1;2;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
